language,category,question,option1,option2,option3,option4,correct
es,vida,¿En qué año nació San Josemaría?,1902,1928,1898,1910,1
es,vida,¿En qué ciudad nació?,Barbastro,Madrid,Zaragoza,Logroño,1
es,vida,¿Cómo se llamaban sus padres?,José y Dolores,Juan y María,Francisco y Carmen,Santiago y Josefa,1
es,vida,¿A dónde le llevó su madre para agradecer su curación de niño?,Torreciudad,El Pilar,Fátima,Lourdes,1
es,vida,¿Cómo se llama su hermano pequeño?,Santiago,Juan,Luis,Francisco,1
es,vida,¿Qué vio en Logroño que le hizo pensar que Dios quería algo de él?,Las pisadas de un carmelita en la nieve,Una luz en la iglesia,Un mendigo pidiendo,Una visión de ángeles,1
es,vida,¿En qué lugar celebró su primera misa?,En el Pilar de Zaragoza,En Barbastro,En Madrid,En Roma,1
es,vida,¿En qué fecha recibió la iluminación de fundar la Obra?,2 de octubre,14 de febrero,26 de junio,9 de enero,1
es,vida,¿A quién daba catequesis San Josemaría en sus primeros años en Madrid?,A niños pobres,A universitarios,A sacerdotes,A militares,1
es,vida,¿En qué fecha falleció en Roma?,26 de junio de 1975,2 de octubre de 1928,9 de enero de 1902,14 de febrero de 1930,1
es,vida,¿Dónde descansan actualmente sus restos?,Santa María de la Paz (Roma),Catedral de la Almudena,Basílica de San Pedro,Catedral de Zaragoza,1
es,vida,¿Qué Papa le declaró santo?,Juan Pablo II,Juan XXIII,Pablo VI,Benedicto XVI,1
es,vida,¿En qué año fue canonizado?,2002,1975,1992,2010,1
es,vida,¿Cuál es el núcleo del carisma del Opus Dei?,Santidad en medio del mundo,Vivir en un convento,Hacer solo oración oral,Irse de misiones lejos,1
es,vida,¿Qué significa ser buen cristiano según su mensaje?,Hacer las cosas por amor a Dios,Ir solo a misa,Ser muy serio,Saber mucha teología,1
es,escritos,¿Cuál fue el primer libro publicado por san Josemaría?,Santo Rosario,Camino,Forja,Amigos de Dios,1
es,escritos,¿Qué libro de san Josemaría contiene 999 puntos de meditación?,Camino,Surco,Forja,Via Crucis,1
es,escritos,¿Qué trilogía de libros breves recoge puntos para la oración personal?,"Camino, Surco y Forja","Conversaciones, Camino y Santo Rosario","Amigos de Dios, Surco y Via Crucis","Forja, Es Cristo que pasa y Amar a la Iglesia",1
es,escritos,¿Qué obra comenta los misterios del Rosario?,Santo Rosario,Camino,Forja,Conversaciones,1
es,escritos,¿Qué libro reúne homilías sobre fiestas y tiempos litúrgicos?,Es Cristo que pasa,Camino,La Abadesa de las Huelgas,Santo Rosario,1
es,escritos,¿Qué libro recoge homilías para la vida cristiana ordinaria?,Amigos de Dios,Surco,Via Crucis,Conversaciones,1
es,escritos,¿Qué obra presenta entrevistas a san Josemaría sobre el Opus Dei y la Iglesia?,Conversaciones,Forja,Camino,Santo Rosario,1
es,escritos,¿Qué libro de san Josemaría invita a meditar las estaciones de la Pasión?,Via Crucis,Surco,Amigos de Dios,Es Cristo que pasa,1
es,escritos,¿Qué expresión famosa aparece al comienzo de Camino?,Que tu vida no sea una vida estéril,Todos los caminos de la tierra,Reaviva el don de Dios,El hombre de la sonrisa permanente,1
es,escritos,¿Qué tema aparece de modo central en muchos escritos de san Josemaría?,La santificación del trabajo ordinario,El retiro del mundo,La política como fin principal,La fama personal,1
es,escritos,¿Qué libro nació a partir de notas y consideraciones espirituales escritas durante años?,Camino,La Abadesa de las Huelgas,Amar a la Iglesia,Conversaciones,1
es,escritos,¿Qué obra trata de modo especial el amor a la Iglesia?,Amar a la Iglesia,Forja,Santo Rosario,Surco,1
es,escritos,¿Qué libro fue publicado póstumamente y forma parte de la trilogía con Camino y Surco?,Forja,Santo Rosario,Conversaciones,La Abadesa de las Huelgas,1
es,escritos,¿Qué obra de investigación histórica escribió san Josemaría?,La Abadesa de las Huelgas,Camino,Surco,Via Crucis,1
es,escritos,"¿Para qué están pensados principalmente sus puntos de Camino, Surco y Forja?",Para hacer oración y examinar la vida,Para estudiar historia medieval,Para aprender música,Para organizar una biblioteca,1
es,centenario,¿En qué fecha está firmado el mensaje del Prelado sobre el Camino al Centenario?,19 de marzo de 2026,2 de octubre de 2028,14 de febrero de 2030,10 de junio de 2021,1
es,centenario,¿Con motivo de qué fiesta se publicó el mensaje?,La fiesta de san José,La fiesta de san Josemaría,La Navidad,La Asunción,1
es,centenario,¿Cómo llamaba san Josemaría a san José según el mensaje?,Mi padre y señor,Mi maestro y rey,Mi amigo fiel,Mi protector lejano,1
es,centenario,¿Qué frase de san Josemaría guía el camino hacia el Centenario?,Está todo hecho y todo por hacer,Duc in altum,Ora et labora,Paz y bien,1
es,centenario,¿Qué periodo abarcará la celebración del Centenario?,Del 2 de octubre de 2028 al 14 de febrero de 2030,Del 19 de marzo de 2026 al 26 de junio de 2027,Solo el 2 de octubre de 2028,Todo el año 2026,1
es,centenario,¿Qué expresa ese periodo de quinientos días?,"La unidad de mujeres y hombres, laicos y sacerdotes",Un cambio de sede,Un congreso académico,El final de la misión,1
es,centenario,¿Cuál fue el tema de las últimas Asambleas regionales?,Camino hacia el Centenario,La historia de Roma,La economía familiar,El arte cristiano,1
es,centenario,¿Qué tres ámbitos resonaron con especial fuerza en las aportaciones?,"Familia, trabajo y formación","Deporte, estudio y descanso","Liturgia, música y arquitectura","Viajes, cultura y economía",1
es,centenario,¿Cómo desea el mensaje mirar el pasado y el futuro?,"Con gratitud, examen humilde y esperanza",Con nostalgia y miedo,Con indiferencia,Con prisa y olvido,1
es,centenario,¿Qué ejemplo propone meditar para prepararse espiritualmente?,El de los primeros cristianos,El de los reyes medievales,El de los filósofos griegos,El de los exploradores,1
es,centenario,¿Qué idea se propone profundizar entre el 2 de octubre de 2026 y el 2 de octubre de 2027?,Ser contemplativos en medio del mundo,Vivir lejos del trabajo,Cambiar de vocación,Estudiar solo documentos antiguos,1
es,centenario,¿Qué enseñanza se propone tener más presente hasta el comienzo del Centenario?,La amistad y la confidencia,La competición y el éxito,El silencio absoluto,La improvisación constante,1
es,centenario,¿Sobre qué se invita a meditar del 2 de octubre de 2028 al 14 de febrero de 2030?,El trabajo desde la secularidad,La vida monástica,La historia del arte,La organización de viajes,1
es,centenario,¿Qué frase resume la enseñanza de san Josemaría sobre el trabajo?,"Santificar el trabajo, santificarnos con el trabajo, santificar a los demás con el trabajo",Trabajar solo por obligación,Evitar las tareas pequeñas,Separar la fe de la vida diaria,1
es,centenario,¿Qué arma recuerda el mensaje que tenemos desde el comienzo de la Obra?,La oración,La publicidad,La fuerza,La discusión,1
en,vida,In what year was Saint Josemaría born?,1902,1928,1898,1910,1
en,vida,In which city was he born?,Barbastro,Madrid,Zaragoza,Logroño,1
en,vida,What were his parents called?,José and Dolores,Juan and María,Francisco and Carmen,Santiago and Josefa,1
en,vida,Where did his mother take him to give thanks for his recovery as a child?,Torreciudad,El Pilar,Fatima,Lourdes,1
en,vida,What is the name of his younger brother?,Santiago,Juan,Luis,Francisco,1
en,vida,What did he see in Logroño that made him think God wanted something from him?,The footprints of a Carmelite in the snow,A light in the church,A beggar asking for help,A vision of angels,1
en,vida,Where did he celebrate his first Mass?,At El Pilar in Zaragoza,In Barbastro,In Madrid,In Rome,1
en,vida,On what date did he receive the inspiration to found the Work?,October 2,February 14,June 26,January 9,1
en,vida,To whom did Saint Josemaría teach catechism in his first years in Madrid?,Poor children,University students,Priests,Soldiers,1
en,vida,On what date did he die in Rome?,"June 26, 1975","October 2, 1928","January 9, 1902","February 14, 1930",1
en,vida,Where do his remains currently rest?,Saint Mary of Peace (Rome),Almudena Cathedral,Saint Peter’s Basilica,Zaragoza Cathedral,1
en,vida,Which Pope declared him a saint?,John Paul II,John XXIII,Paul VI,Benedict XVI,1
en,vida,In what year was he canonized?,2002,1975,1992,2010,1
en,vida,What is the core of the Opus Dei charism?,Holiness in the middle of the world,Living in a convent,Only saying vocal prayers,Going far away on missions,1
en,vida,What does being a good Christian mean according to his message?,Doing things for love of God,Only going to Mass,Being very serious,Knowing a lot of theology,1
en,escritos,What was the first book published by Saint Josemaría?,Holy Rosary,The Way,The Forge,Friends of God,1
en,escritos,Which book by Saint Josemaría contains 999 points for meditation?,The Way,Furrow,The Forge,The Way of the Cross,1
en,escritos,Which trilogy of short books gathers points for personal prayer?,"The Way, Furrow and The Forge","Conversations, The Way and Holy Rosary","Friends of God, Furrow and The Way of the Cross","The Forge, Christ Is Passing By and In Love with the Church",1
en,escritos,Which work comments on the mysteries of the Rosary?,Holy Rosary,The Way,The Forge,Conversations,1
en,escritos,Which book gathers homilies on feasts and liturgical seasons?,Christ Is Passing By,The Way,The Abbess of Las Huelgas,Holy Rosary,1
en,escritos,Which book gathers homilies for ordinary Christian life?,Friends of God,Furrow,The Way of the Cross,Conversations,1
en,escritos,Which work presents interviews with Saint Josemaría about Opus Dei and the Church?,Conversations,The Forge,The Way,Holy Rosary,1
en,escritos,Which book by Saint Josemaría invites meditation on the stations of the Passion?,The Way of the Cross,Furrow,Friends of God,Christ Is Passing By,1
en,escritos,What famous expression appears at the beginning of The Way?,May your life not be a barren life,All the paths of the earth,Rekindle the gift of God,The man with the permanent smile,1
en,escritos,What theme is central in many writings of Saint Josemaría?,The sanctification of ordinary work,Withdrawal from the world,Politics as the main goal,Personal fame,1
en,escritos,Which book arose from spiritual notes and considerations written over many years?,The Way,The Abbess of Las Huelgas,In Love with the Church,Conversations,1
en,escritos,Which work deals especially with love for the Church?,In Love with the Church,The Forge,Holy Rosary,Furrow,1
en,escritos,Which book was published posthumously and forms part of the trilogy with The Way and Furrow?,The Forge,Holy Rosary,Conversations,The Abbess of Las Huelgas,1
en,escritos,What historical research work did Saint Josemaría write?,The Abbess of Las Huelgas,The Way,Furrow,The Way of the Cross,1
en,escritos,"What are the points in The Way, Furrow and The Forge mainly intended for?",For prayer and examination of life,For studying medieval history,For learning music,For organizing a library,1
en,centenario,On what date is the Prelate’s message about the Road to the Centenary signed?,"March 19, 2026","October 2, 2028","February 14, 2030","June 10, 2021",1
en,centenario,On the occasion of which feast was the message published?,The feast of Saint Joseph,The feast of Saint Josemaría,Christmas,The Assumption,1
en,centenario,How did Saint Josemaría refer to Saint Joseph according to the message?,My father and lord,My teacher and king,My faithful friend,My distant protector,1
en,centenario,What phrase of Saint Josemaría guides the road to the Centenary?,Everything has been done and everything remains to be done,Duc in altum,Ora et labora,Peace and good,1
en,centenario,What period will the Centenary celebration cover?,"From October 2, 2028 to February 14, 2030","From March 19, 2026 to June 26, 2027","Only October 2, 2028",All of 2026,1
en,centenario,What does this five-hundred-day period express?,"The unity of women and men, lay people and priests",A change of headquarters,An academic congress,The end of the mission,1
en,centenario,What was the theme of the latest Regional Assemblies?,Road to the Centenary,The history of Rome,Family economics,Christian art,1
en,centenario,Which three areas stood out strongly in the contributions?,"Family, work and formation","Sport, study and rest","Liturgy, music and architecture","Travel, culture and economy",1
en,centenario,How does the message wish to look at the past and the future?,"With gratitude, humble examination and hope",With nostalgia and fear,With indifference,With haste and forgetfulness,1
en,centenario,Whose example does it propose meditating on for spiritual preparation?,The first Christians,Medieval kings,Greek philosophers,Explorers,1
en,centenario,"What idea is proposed for deeper study from October 2, 2026 to October 2, 2027?",Being contemplatives in the middle of the world,Living far from work,Changing vocation,Studying only old documents,1
en,centenario,What teaching is proposed to keep more present until the beginning of the Centenary?,Friendship and confidence,Competition and success,Absolute silence,Constant improvisation,1
en,centenario,"What are we invited to meditate on from October 2, 2028 to February 14, 2030?",Work from the perspective of secularity,Monastic life,Art history,Travel organization,1
en,centenario,What phrase summarizes Saint Josemaría’s teaching on work?,"Sanctify work, sanctify ourselves with work, sanctify others through work",Work only out of obligation,Avoid small tasks,Separate faith from daily life,1
en,centenario,What weapon does the message recall we have had from the beginning of the Work?,Prayer,Advertising,Force,Argument,1
sk,vida,V ktorom roku sa narodil svätý Josemaría?,1902,1928,1898,1910,1
sk,vida,V ktorom meste sa narodil?,Barbastro,Madrid,Zaragoza,Logroño,1
sk,vida,Ako sa volali jeho rodičia?,José a Dolores,Juan a María,Francisco a Carmen,Santiago a Josefa,1
sk,vida,"Kam ho matka vzala, aby sa poďakovala za jeho uzdravenie v detstve?",Torreciudad,El Pilar,Fatima,Lurdy,1
sk,vida,Ako sa volal jeho mladší brat?,Santiago,Juan,Luis,Francisco,1
sk,vida,"Čo videl v Logroñe, čo ho priviedlo k myšlienke, že Boh od neho niečo chce?",Stopy karmelitána v snehu,Svetlo v kostole,Žobráka prosiaceho o pomoc,Videnie anjelov,1
sk,vida,Kde slávil svoju prvú omšu?,V bazilike Pilar v Zaragoze,V Barbastre,V Madride,V Ríme,1
sk,vida,V ktorý deň prijal svetlo založiť Dielo?,2. októbra,14. februára,26. júna,9. januára,1
sk,vida,Koho učil svätý Josemaría katechizmus v prvých rokoch v Madride?,Chudobné deti,Univerzitných študentov,Kňazov,Vojakov,1
sk,vida,V ktorý deň zomrel v Ríme?,26. júna 1975,2. októbra 1928,9. januára 1902,14. februára 1930,1
sk,vida,Kde dnes odpočívajú jeho telesné pozostatky?,Panna Mária Pokoja v Ríme,Katedrála Almudena,Bazilika svätého Petra,Katedrála v Zaragoze,1
sk,vida,Ktorý pápež ho vyhlásil za svätého?,Ján Pavol II.,Ján XXIII.,Pavol VI.,Benedikt XVI.,1
sk,vida,V ktorom roku bol kanonizovaný?,2002,1975,1992,2010,1
sk,vida,Čo je jadrom charizmy Opus Dei?,Svätosť uprostred sveta,Život v kláštore,Iba ústna modlitba,Odísť na vzdialené misie,1
sk,vida,Čo podľa jeho posolstva znamená byť dobrým kresťanom?,Robiť veci z lásky k Bohu,Iba chodiť na omšu,Byť veľmi vážny,Vedieť veľa teológie,1
sk,escritos,"Aká bola prvá kniha, ktorú svätý Josemaría vydal?",Svätý ruženec,Cesta,Vyhňa,Boží priatelia,1
sk,escritos,Ktorá kniha svätého Josemaríu obsahuje 999 bodov na rozjímanie?,Cesta,Brázda,Vyhňa,Krížová cesta,1
sk,escritos,Ktorá trilógia krátkych kníh zhromažďuje body na osobnú modlitbu?,"Cesta, Brázda a Vyhňa","Rozhovory, Cesta a Svätý ruženec","Boží priatelia, Brázda a Krížová cesta","Vyhňa, Ísť s Kristom a Milovať Cirkev",1
sk,escritos,Ktoré dielo komentuje tajomstvá ruženca?,Svätý ruženec,Cesta,Vyhňa,Rozhovory,1
sk,escritos,Ktorá kniha zhromažďuje homílie o sviatkoch a liturgických obdobiach?,Ísť s Kristom,Cesta,Abatyša z Las Huelgas,Svätý ruženec,1
sk,escritos,Ktorá kniha zhromažďuje homílie pre bežný kresťanský život?,Boží priatelia,Brázda,Krížová cesta,Rozhovory,1
sk,escritos,Ktoré dielo prináša rozhovory so svätým Josemaríom o Opus Dei a Cirkvi?,Rozhovory,Vyhňa,Cesta,Svätý ruženec,1
sk,escritos,Ktorá kniha svätého Josemaríu pozýva rozjímať nad zastaveniami Pánovho umučenia?,Krížová cesta,Brázda,Boží priatelia,Ísť s Kristom,1
sk,escritos,Ktorý známy výraz sa objavuje na začiatku knihy Cesta?,Nech tvoj život nie je neplodný,Všetky cesty zeme,Oživ Boží dar,Muž stáleho úsmevu,1
sk,escritos,Ktorá téma je ústredná v mnohých spisoch svätého Josemaríu?,Posväcovanie obyčajnej práce,Útek zo sveta,Politika ako hlavný cieľ,Osobná sláva,1
sk,escritos,Ktorá kniha vznikla z duchovných poznámok a úvah písaných počas rokov?,Cesta,Abatyša z Las Huelgas,Milovať Cirkev,Rozhovory,1
sk,escritos,Ktoré dielo sa osobitne venuje láske k Cirkvi?,Milovať Cirkev,Vyhňa,Svätý ruženec,Brázda,1
sk,escritos,Ktorá kniha bola vydaná posmrtne a patrí do trilógie s Cestou a Brázdou?,Vyhňa,Svätý ruženec,Rozhovory,Abatyša z Las Huelgas,1
sk,escritos,Aké historické výskumné dielo napísal svätý Josemaría?,Abatyša z Las Huelgas,Cesta,Brázda,Krížová cesta,1
sk,escritos,"Na čo sú určené najmä body v knihách Cesta, Brázda a Vyhňa?",Na modlitbu a spytovanie života,Na štúdium stredovekých dejín,Na učenie hudby,Na usporiadanie knižnice,1
sk,centenario,V ktorý deň je podpísané posolstvo preláta o Ceste k storočnici?,19. marca 2026,2. októbra 2028,14. februára 2030,10. júna 2021,1
sk,centenario,Pri príležitosti ktorého sviatku bolo posolstvo uverejnené?,Sviatku svätého Jozefa,Sviatku svätého Josemaríu,Vianoc,Nanebovzatia,1
sk,centenario,Ako podľa posolstva nazýval svätý Josemaría svätého Jozefa?,Môj otec a pán,Môj učiteľ a kráľ,Môj verný priateľ,Môj vzdialený ochranca,1
sk,centenario,Ktorá veta svätého Josemaríu sprevádza cestu k storočnici?,Všetko je hotové a všetko treba ešte urobiť,Duc in altum,Ora et labora,Pokoj a dobro,1
sk,centenario,Aké obdobie bude zahŕňať oslava storočnice?,Od 2. októbra 2028 do 14. februára 2030,Od 19. marca 2026 do 26. júna 2027,Iba 2. októbra 2028,Celý rok 2026,1
sk,centenario,Čo vyjadruje toto päťstové dňové obdobie?,"Jednotu žien a mužov, laikov a kňazov",Zmenu sídla,Akademický kongres,Koniec misie,1
sk,centenario,Aká bola téma posledných regionálnych zhromaždení?,Cesta k storočnici,Dejiny Ríma,Rodinné hospodárstvo,Kresťanské umenie,1
sk,centenario,Ktoré tri oblasti silno zazneli v príspevkoch?,"Rodina, práca a formácia","Šport, štúdium a oddych","Liturgia, hudba a architektúra","Cesty, kultúra a ekonomika",1
sk,centenario,Ako chce posolstvo hľadieť na minulosť a budúcnosť?,"S vďačnosťou, pokorným skúmaním a nádejou",S nostalgiou a strachom,S ľahostajnosťou,S náhlením a zabudnutím,1
sk,centenario,Čí príklad navrhuje rozjímať pri duchovnej príprave?,Prvých kresťanov,Stredovekých kráľov,Gréckych filozofov,Objaviteľov,1
sk,centenario,Ktorú myšlienku navrhuje prehĺbiť od 2. októbra 2026 do 2. októbra 2027?,Byť kontemplatívni uprostred sveta,Žiť ďaleko od práce,Zmeniť povolanie,Študovať iba staré dokumenty,1
sk,centenario,Ktoré učenie navrhuje mať viac na pamäti do začiatku storočnice?,Priateľstvo a dôvernosť,Súťaž a úspech,Úplné ticho,Stála improvizácia,1
sk,centenario,O čom nás pozýva rozjímať od 2. októbra 2028 do 14. februára 2030?,O práci zo sekulárnosti,O mníšskom živote,O dejinách umenia,O organizovaní ciest,1
sk,centenario,Ktorá veta zhŕňa učenie svätého Josemaríu o práci?,"Posväcovať prácu, posväcovať sa prácou, posväcovať druhých prácou",Pracovať iba z povinnosti,Vyhýbať sa malým úlohám,Oddeľovať vieru od každodenného života,1
sk,centenario,Akú zbraň podľa posolstva máme od začiatku Diela?,Modlitbu,Reklamu,Silu,Diskusiu,1
sl,vida,Katerega leta se je rodil sveti Jožefmarija?,1902,1928,1898,1910,1
sl,vida,V katerem mestu se je rodil?,Barbastro,Madrid,Zaragoza,Logroño,1
sl,vida,Kako sta se imenovala njegova starša?,José in Dolores,Juan in María,Francisco in Carmen,Santiago in Josefa,1
